src	dst
海是静的，有波纹的，如一张小帆，缓缓的朝着太陽方向驶来。	The sea is quiet and wavy, like a small sail, slowly heading towards the sun.
海是一点儿也不缺的，只是缺少的是生活的经验和爱情。	The sea is not lacking at all, but what is lacking is life experience and love.
海是蓝色的，天空是蓝色的，海水是蓝色的，天上是紫色的，海底是深蓝色的，而海水是蔚蓝色的，蓝色地呈现出波涛汹涌的壮观景象。风吹过，波涛拍打着岩石那里发出沙沙的声响；闪闪的星星一闪，就像一颗颗宝石缀在海面上，就像一个个大航标在海面上飞翔。太陽西沉，天空出现彩虹，像一座七彩小桥挂在天空。太陽西沉，彩虹变成了一片金黄色，风一吹，海水就变成了金黄色。	The sea is blue, the sky is blue, the sea water is blue, the sky is purple, the seabed is dark blue, and the sea water is blue, showing a spectacular scene of choppy waves. When the wind blows, the waves beat against the rocks, where they make a rustling sound; The twinkling stars are like jewels hanging on the sea, like big navigation marks flying on the sea. The sun sets in the West and a rainbow appears in the sky, hanging in the sky like a colorful bridge. The sun sets in the west, and the rainbow turns golden. When the wind blows, the sea turns golden.
海是一个美丽多姿的海湾，水波粼粼，连绵起伏，像奔马一般欢快	The sea is a beautiful and colorful Bay. The water is sparkling and undulating, like a running horse
海是温暖的，但又很冷，他们都穿着大衣大裤子，戴着白帽子。	The sea is warm but cold. They are all wearing coats, big pants and white hats.
海是蔚蓝色的，太陽像一个熊熊燃烧的大火。	The sea is blue, and the sun is like a raging fire.
海是不会淹死人的，因为它是一个大坑，一个大池。	The sea will not drown people, because it is a big pit and a big pool.
海是一片金色的，映在海上的浪花是那么多	The sea is golden, and there are so many waves reflected on the sea
海是那么明亮，天空明朗，天空是蓝蓝的，天空是蔚蓝的。大海像深蓝的天空，蔚蓝的色调是那么浓，我似乎已经不再是蓝天，而是海中央那点残陽。只是海水变得越来越蓝了，变得红彤彤的，好像刚刚吃过死人的野兽。	The sea is so bright, the sky is clear, the sky is blue, and the sky is blue. It seems that the blue sky is no longer like the blue sky, but the blue sky in the middle of me. But the sea became more and more blue and red, like a beast that had just eaten the dead.
海是在我们的家，我们的家，在我们的家里，在我们的家里，我们一起在这里度过了我们的春秋冬夏。在这里，你们就像我这样，在黑暗的天空下放声歌唱、狂吻、呻吟。在你们的歌声中，我们就像春姑娘一样，向着春天唱出了春天的颂歌。	The sea is in our home, our home, in our home, in our home. We spent our spring and autumn, winter and summer here together. Here, you are like me, singing, kissing and groaning in the dark sky. In your songs, we are like spring girls, singing the ode of spring to spring.
月季像喇叭花一个害羞的小姑娘,发出不知名的叫声。	The rose is like a trumpet flower. A shy little girl makes an unknown cry.
月季像姑娘的笑容。	The rose is like a girl's smile.
月季像彩虹像什么？	What does a rose look like a rainbow?
月季像蝴蝶开了花，笑着躲在树枝上，望着湛蓝的天空。	The rose blossomed like a butterfly, smiling and hiding on the branches, looking at the blue sky.
月季像一串晶莹透澈的珍珠那么亮，像一颗颗小星星那么大，星星星星一下子就闪闪烁烁，美极了。	The rose is as bright as a string of crystal clear pearls and as big as small stars. The stars are shining and beautiful all at once.
月季像盏盏彩灯，在寒冬腊月的夜晚为人们举办的盛大宴会中，扮演着什么样的角色呀！	The Chinese rose is like a lantern. What role does it play in the grand banquet held for people on the night of cold winter and December!
月季像一个优美的少女，满面春风，朝气蓬勃，令人感到高贵。	The rose is like a beautiful girl, full of spring breeze and vitality, which makes people feel noble.
月季像一个害羞的小姑娘	Rose is like a shy little girl
月季像云像小一头大雪花在空中飘舞,颜色是那么浓，那么纯。	The rose dances in the sky like a snowflake, so thick in color.
月季像是一个文静的姑娘，让世界姹紫嫣红。	Rose is like a quiet girl, making the world colorful.
月季像姑娘们撒娇的小雪球	Roses are like little snowballs played by girls
月季像云彩像一片片洁白的羽毛飘落下来，犹如星星点缀大地。	The roses fall down like clouds, like white feathers, like stars dotted the earth.
